Address,Broker,Price,Beds,Bathrooms,Square Footage,URL
"1900 Spindrift Dr, La Jolla, CA 92037",COMPASS,"$108,000,000",10 bds,17 ba,"12,981 sqft",https://www.zillow.com/homedetails/1900-Spindrift-Dr-La-Jolla-CA-92037/16839110_zpid/
"7253 Monte Vista Ave, La Jolla, CA 92037",COLDWELL BANKER REALTY,"$8,250,000",4 bds,5 ba,"3,577 sqft",https://www.zillow.com/homedetails/7253-Monte-Vista-Ave-La-Jolla-CA-92037/16849344_zpid/
"6283 La Jolla Scenic Dr S, La Jolla, CA 92037","EXP REALTY OF CALIFORNIA, INC.","$22,500,000",7 bds,10 ba,"12,842 sqft",https://www.zillow.com/homedetails/6283-La-Jolla-Scenic-Dr-S-La-Jolla-CA-92037/16852003_zpid/
"5633 Soledad Mountain Rd, La Jolla, CA 92037","BIG BLOCK REALTY, INC.","$2,795,000",4 bds,3 ba,"2,638 sqft",https://www.zillow.com/homedetails/5633-Soledad-Mountain-Rd-La-Jolla-CA-92037/16857069_zpid/
"7134 Olivetas Ave, La Jolla, CA 92037",HEARTLAND REAL ESTATE,"$2,390,000",2 bds,2 ba,"1,426 sqft",https://www.zillow.com/homedetails/7134-Olivetas-Ave-La-Jolla-CA-92037/16849457_zpid/
"6308 Camino De La Costa, La Jolla, CA 92037","DOUGLAS ELLIMAN OF CALIFORNIA, INC.","$35,000,000",9 bds,10 ba,"10,260 sqft",https://www.zillow.com/homedetails/6308-Camino-De-La-Costa-La-Jolla-CA-92037/16850611_zpid/
"7135 Olivetas Ave, La Jolla, CA 92037",BERKSHIRE HATHAWAY HOMESERVICES CALIFORNIA PROPERTIES,"$4,498,000",5 bds,3 ba,"2,231 sqft",https://www.zillow.com/homedetails/7135-Olivetas-Ave-La-Jolla-CA-92037/16849471_zpid/
"2310 Calle De La Garza, La Jolla, CA 92037","EXP REALTY OF CALIFORNIA, INC.","$9,500,000",5 bds,8 ba,"5,250 sqft",https://www.zillow.com/homedetails/2310-Calle-De-La-Garza-La-Jolla-CA-92037/16838630_zpid/
"5632 Ladybird Ln, La Jolla, CA 92037",PACIFIC SOTHEBY'S INT'L REALTY,"$2,700,000",3 bds,2 ba,"2,249 sqft",https://www.zillow.com/homedetails/5632-Ladybird-Ln-La-Jolla-CA-92037/16855842_zpid/
"1900 Spindrift Dr, La Jolla, CA 92037",COMPASS,"$108,000,000",10 bds,17 ba,"12,981 sqft",https://www.zillow.com/homedetails/1900-Spindrift-Dr-La-Jolla-CA-92037/16839110_zpid/
"7253 Monte Vista Ave, La Jolla, CA 92037",COLDWELL BANKER REALTY,"$8,250,000",4 bds,5 ba,"3,577 sqft",https://www.zillow.com/homedetails/7253-Monte-Vista-Ave-La-Jolla-CA-92037/16849344_zpid/
"6283 La Jolla Scenic Dr S, La Jolla, CA 92037","EXP REALTY OF CALIFORNIA, INC.","$22,500,000",7 bds,10 ba,"12,842 sqft",https://www.zillow.com/homedetails/6283-La-Jolla-Scenic-Dr-S-La-Jolla-CA-92037/16852003_zpid/
"2916 Murat St, San Diego, CA 92117",KELLER WILLIAMS LA JOLLA,"$1,375,000",3 bds,2 ba,"1,596 sqft",https://www.zillow.com/homedetails/2916-Murat-St-San-Diego-CA-92117/16860273_zpid/
"5633 Soledad Mountain Rd, La Jolla, CA 92037","BIG BLOCK REALTY, INC.","$2,795,000",4 bds,3 ba,"2,638 sqft",https://www.zillow.com/homedetails/5633-Soledad-Mountain-Rd-La-Jolla-CA-92037/16857069_zpid/
"7134 Olivetas Ave, La Jolla, CA 92037",HEARTLAND REAL ESTATE,"$2,390,000",2 bds,2 ba,"1,426 sqft",https://www.zillow.com/homedetails/7134-Olivetas-Ave-La-Jolla-CA-92037/16849457_zpid/
"6308 Camino De La Costa, La Jolla, CA 92037","DOUGLAS ELLIMAN OF CALIFORNIA, INC.","$35,000,000",9 bds,10 ba,"10,260 sqft",https://www.zillow.com/homedetails/6308-Camino-De-La-Costa-La-Jolla-CA-92037/16850611_zpid/
"3890 Nobel Dr UNIT 208, San Diego, CA 92122",PACIFIC REGENT REALTY,"$375,000",2 bds,2 ba,"1,226 sqft",https://www.zillow.com/homedetails/3890-Nobel-Dr-UNIT-208-San-Diego-CA-92122/16837211_zpid/
"7135 Olivetas Ave, La Jolla, CA 92037",BERKSHIRE HATHAWAY HOMESERVICES CALIFORNIA PROPERTIES,"$4,498,000",5 bds,3 ba,"2,231 sqft",https://www.zillow.com/homedetails/7135-Olivetas-Ave-La-Jolla-CA-92037/16849471_zpid/
"1900 Spindrift Dr, La Jolla, CA 92037",COMPASS,"$108,000,000",10 bds,17 ba,"12,981 sqft",https://www.zillow.com/homedetails/1900-Spindrift-Dr-La-Jolla-CA-92037/16839110_zpid/
"6283 La Jolla Scenic Dr S, La Jolla, CA 92037","EXP REALTY OF CALIFORNIA, INC.","$22,500,000",7 bds,10 ba,"12,842 sqft",https://www.zillow.com/homedetails/6283-La-Jolla-Scenic-Dr-S-La-Jolla-CA-92037/16852003_zpid/
"2916 Murat St, San Diego, CA 92117",KELLER WILLIAMS LA JOLLA,"$1,375,000",3 bds,2 ba,"1,596 sqft",https://www.zillow.com/homedetails/2916-Murat-St-San-Diego-CA-92117/16860273_zpid/
"3890 Nobel Dr UNIT 208, San Diego, CA 92122",PACIFIC REGENT REALTY,"$375,000",2 bds,2 ba,"1,226 sqft",https://www.zillow.com/homedetails/3890-Nobel-Dr-UNIT-208-San-Diego-CA-92122/16837211_zpid/
"2310 Calle De La Garza, La Jolla, CA 92037","EXP REALTY OF CALIFORNIA, INC.","$9,500,000",5 bds,8 ba,"5,250 sqft",https://www.zillow.com/homedetails/2310-Calle-De-La-Garza-La-Jolla-CA-92037/16838630_zpid/
"2223 Via Media, La Jolla, CA 92037",BERKSHIRE HATHAWAY HOMESERVICES CALIFORNIA PROPERTIES,"$7,670,000",6 bds,7 ba,"4,824 sqft",https://www.zillow.com/homedetails/2223-Via-Media-La-Jolla-CA-92037/16857678_zpid/
"6350 Genesee Ave UNIT 107, San Diego, CA 92122",THE AGENCY,"$360,000",1 bd,1 ba,578 sqft,https://www.zillow.com/homedetails/6350-Genesee-Ave-UNIT-107-San-Diego-CA-92122/16843499_zpid/
"5723 Scripps St, San Diego, CA 92122",REALTY ONE GROUP PACIFIC,"$1,445,000",4 bds,2 ba,"1,500 sqft",https://www.zillow.com/homedetails/5723-Scripps-St-San-Diego-CA-92122/17191526_zpid/
"9773 Keeneland Row, La Jolla, CA 92037",COMPASS,"$1,398,000",2 bds,3 ba,"2,174 sqft",https://www.zillow.com/homedetails/9773-Keeneland-Row-La-Jolla-CA-92037/17204089_zpid/
"1900 Spindrift Dr, La Jolla, CA 92037",COMPASS,"$108,000,000",10 bds,17 ba,"12,981 sqft",https://www.zillow.com/homedetails/1900-Spindrift-Dr-La-Jolla-CA-92037/16839110_zpid/
"7253 Monte Vista Ave, La Jolla, CA 92037",COLDWELL BANKER REALTY,"$8,250,000",4 bds,5 ba,"3,577 sqft",https://www.zillow.com/homedetails/7253-Monte-Vista-Ave-La-Jolla-CA-92037/16849344_zpid/
"6283 La Jolla Scenic Dr S, La Jolla, CA 92037","EXP REALTY OF CALIFORNIA, INC.","$22,500,000",7 bds,10 ba,"12,842 sqft",https://www.zillow.com/homedetails/6283-La-Jolla-Scenic-Dr-S-La-Jolla-CA-92037/16852003_zpid/
"5633 Soledad Mountain Rd, La Jolla, CA 92037","BIG BLOCK REALTY, INC.","$2,795,000",4 bds,3 ba,"2,638 sqft",https://www.zillow.com/homedetails/5633-Soledad-Mountain-Rd-La-Jolla-CA-92037/16857069_zpid/
"7134 Olivetas Ave, La Jolla, CA 92037",HEARTLAND REAL ESTATE,"$2,390,000",2 bds,2 ba,"1,426 sqft",https://www.zillow.com/homedetails/7134-Olivetas-Ave-La-Jolla-CA-92037/16849457_zpid/
"6308 Camino De La Costa, La Jolla, CA 92037","DOUGLAS ELLIMAN OF CALIFORNIA, INC.","$35,000,000",9 bds,10 ba,"10,260 sqft",https://www.zillow.com/homedetails/6308-Camino-De-La-Costa-La-Jolla-CA-92037/16850611_zpid/
"7135 Olivetas Ave, La Jolla, CA 92037",BERKSHIRE HATHAWAY HOMESERVICES CALIFORNIA PROPERTIES,"$4,498,000",5 bds,3 ba,"2,231 sqft",https://www.zillow.com/homedetails/7135-Olivetas-Ave-La-Jolla-CA-92037/16849471_zpid/
"5632 Ladybird Ln, La Jolla, CA 92037",PACIFIC SOTHEBY'S INT'L REALTY,"$2,700,000",3 bds,2 ba,"2,249 sqft",https://www.zillow.com/homedetails/5632-Ladybird-Ln-La-Jolla-CA-92037/16855842_zpid/
"5366 Calumet Ave, La Jolla, CA 92037",BERKSHIRE HATHAWAY HOMESERVICE,"$9,988,000",4 bds,5 ba,"3,999 sqft",https://www.zillow.com/homedetails/5366-Calumet-Ave-La-Jolla-CA-92037/16907441_zpid/
